Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Valkyrie,HVS 5a ***,Lead O/S,Steely12,Nice excursion in one pitch with doubles.,13/Aug/19,Froggatt Edge,Trad,British,England
Tody's Wall,HVS 5a ***,2nd O/S,Steely12,Ace lead from Dave.,13/Aug/19,Froggatt Edge,Trad,British,England
Cave Crawl,S 5a ***,Solo O/S,Steely12,,13/Aug/19,Froggatt Edge,Trad,British,England
Steep Walk,HVS 5b ,2nd O/S,Sid Sherborne,,05/Aug/19,Markfield Quarry,Trad,British,England
Weak Walk Direct,VS 4c ,2nd O/S,Sid Sherborne,,05/Aug/19,Markfield Quarry,Trad,British,England
Hard Shoulder,HS 4b *,Solo O/S,Sid Sherborne,,05/Aug/19,Markfield Quarry,Trad,British,England
Elderberry Corner,VD  ,Solo O/S,Sid Sherborne,,05/Aug/19,Markfield Quarry,Trad,British,England
Chalkie and the Hex 5,5c  **,Lead O/S,Gabbyhan,,04/Aug/19,The Cuttings,Sport,French,England
Perihelion,6b+  **,Lead O/S,Gabbyhan,"Cool, tense laybacking up high.",04/Aug/19,The Cuttings,Sport,French,England
Mother's Milk,6a  **,Lead O/S,Gabbyhan,,03/Aug/19,Blacknor North,Sport,French,England
Reptile Smile,6a+  ***,Lead O/S,Gabbyhan,,03/Aug/19,Blacknor North,Sport,French,England
England's Dreaming,7a+  ***,Lead RP,Gabbyhan,Ace route. Crux felt impossible until I just committed to the smear! ,03/Aug/19,Blacknor North,Sport,French,England
The Ankh,E2 5c **,Lead O/S,Sid Sherborne,,31/Jul/19,Symonds Yat,Trad,British,England
Free Radical,E2 5c **,Lead O/S,Steely12,"Brilliant, exposed, adventurous climbing. Class!",31/Jul/19,Symonds Yat,Trad,British,England
Future Times,HVS 5a ,2nd rpt,Sid Sherborne,,29/Jul/19,Craig Buddon,Trad,British,England
Trepidation,HVS 5b ,2nd rpt,Sid Sherborne,,29/Jul/19,Craig Buddon,Trad,British,England
Starco,HVS 5a *,2nd rpt,Sid Sherborne,,29/Jul/19,Craig Buddon,Trad,British,England
The Directissima,6c  ***,Lead O/S,Dave Loh,Nice way to break the journey from Durham to the Midlands!,28/Jul/19,Kilnsey,Sport,French,England
The Hand Jam,HS 4a *,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Niche,E2 6a ,Lead O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Cave,E2 5c **,Lead O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
The Overhang,E1 5b *,2nd O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Dislocation,E1 5b *,2nd O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Easy Right,HS 4a ,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
The Easy,HS 4b ,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Little Arete,HVS 5a ,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Right Crack,S  *,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Short Crack,HS 4b ,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
Middle Crack,S 4a *,Solo O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
In Between,HVS 5b ,2nd O/S,Sid Sherborne,,18/Jul/19,"Castle Rock, Gloucestershire",Trad,British,England
L'Horloge (Red 5),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.
",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Lame du Rasoir (Red 13),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Crocodile (Red 21),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Berceuse (Red 31),V1  **,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Cascade (Red 4),V0+  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Prise de Bec (Red 12),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Vin Rouge (Red 20),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Mâchoire (Red 30),V1  *,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Les Trois Inverséee (Red 3),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Saucisson Sec (Red 11),V0  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Vin Blanc (Red 19),V0+  **,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Passe Muraille (Red 29),V2  **,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Bifteck (Red 2),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Mise à Plat (Red 10),V2  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Patinette (Red 18),V0+  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
L'Abat-Jour (Red 26),V0+  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Lunule (Red 1),V0+  **,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Fer à Repasser (Red 9),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Pierre Vivante (Red 17),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Répit (Red 25),V0+  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Mise à Pied (Red 8),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Bouton (Red 16),V1  *,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Traversée de la Poire (Red 24),V2  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
La Choucroute Garnie (Red 7),V0+  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Balancier (Red 15),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Poirier (Red 23),V1  *,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Moulin à Vent (Red 6),V0  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Le Gros Cerveau (Red 14),V2  **,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
L'Éliminatoire (Red 22),V1  ,Sent,EddieTJ,"Ace day on the red circuit to break up the journey back from Ceuse. I climbed maybe 1/2 of the circuit (maybe 2/3rd of these problems logged by Eddie) despite this being mid euro-heatwave. Unfortunately, I have no recollection of which specific problems I did or didn't do.",09/Jul/19,Franchard Isatis,Bouldering,Font,France
Blocage Violent,7b+  ***,Lead dog,EddieTJ,"Had a good few goes on this as an experiment in trying some harder 7s. Found it fierce, very sustained and fairly runout - how very Ceuse! Would love to go back for this now that I've gotten more into hard sport.",07/Jul/19,Céüse,Sport,French,France
Reptile Smile,6a+  ***,Lead O/S,Michael Bortoluzzi,,06/Jul/19,Blacknor North,Sport,French,England
Downtown Julie Brown,6c  ***,Lead O/S,Michael Bortoluzzi,"Flippin close, swear I started falling off the undercuts but caught the next hold just in time",06/Jul/19,Blacknor North,Sport,French,England
Very Sleepy River,6b  **,Lead O/S,Michael Bortoluzzi,,06/Jul/19,Blacknor North,Sport,French,England
San John's Pécos,7b+  ***,2nd dog,EddieTJ,Remember trying this with Eddie's draws in but not sure if I had any lead attempts. Was nice to play on something a bit harder. Sustained and crimpy!,03/Jul/19,Céüse,Sport,French,France
2001 - L'odyssée du Grimpeur,7b  ***,Lead RP,EddieTJ,"2nd go, first of the grade. Awesome!",03/Jul/19,Céüse,Sport,French,France
La Petite Illusion,7a+  ***,Lead RP,EddieTJ,Lovely route but no soft touch!,03/Jul/19,Céüse,Sport,French,France
Médecine Douce,6c+  ***,Lead RP,EddieTJ,Got a right beasting when attempting the onsight. Nice to get it a few days later.,03/Jul/19,Céüse,Sport,French,France
Mont Blanc summit,summit  ,-,Steely12,"Awesome, truly memorable excursion with Dave!
Up \'Trois Monts\' and down the Goûter route. 
Stood at the summit at dawn and back down in Cham by midday, just in time to get final uni results. In total, a day of lifetime achievements.",27/Jun/19,Mont Blanc,Special, ,France
Goûter Route,PD  ***,-,Steely12,,27/Jun/19,Mont Blanc,Alpine,Alpine,France
"Mont Blanc Traverse, Cosmiques hut to Gouter Hut",PD  ***,-,Steely12,,27/Jun/19,Mont Blanc,Alpine,Alpine,France
Trois Monts Route,PD+  ***,-,Steely12,"Tough going up Mont Blanc du Tacul - Dave had a nice tumble into a crevasse, luckily up-hill from me. Maudi Step quite icy. Past this, we were able to really race up to the summit.",27/Jun/19,Mont Blanc,Alpine,Alpine,France
Cocher Cochon,TD- 6a ***,AltLd O/S,EGriffin,"Amazing top pitch, great day out in the sun. Ended up running back down to the cable car and made it thanks to some kind Spaniards letting us in front for the final abseil.",25/Jun/19,Aiguilles Rouges,Alpine,Alpine,France
Couscous,6b  **,Lead O/S,lo22,Lovely techy/bridgy groove giving way to nicer holds and a view over the trees. Nice and cool here despite the heatwave!,24/Jun/19,Les Gaillands,Sport,French,France
Frison-Roche,TD- 6a ***,AltLd O/S,Steely12,Great route though very busy. Nice to get out on a scenic sport multi-pitch whilst the high mountains are falling apart.,23/Jun/19,Aiguilles Rouges,Alpine,Alpine,France
Aiguille du Chardonnet summit,summit  ,-,"Steely12, lo22",,17/Jun/19,Aiguille du Chardonnet,Special, ,France
Forbes Arête,AD 3 ***,AltLd,"Steely12, lo22","A harrowing excursion that really changed my perception of risk. Arrived back down in the valley after 22 hrs, having used up a fair few of my nine lives. ",17/Jun/19,Aiguille du Chardonnet,Alpine,Alpine,France
Arête à Laurence,PD 4b **,AltLd,"Steely12, lo22",Crux pitch in mediocre condition - wintry enough for all gear to be buried but not consolidated enough to allow for much axe use. Also pulled off a huge block which came within about a foot of Lauren\'s head.,15/Jun/19,Aiguille du Midi,Alpine,Alpine,France
Directe du fil à plomb,6a+  ***,Lead O/S,"Steely12, lo22",,14/Jun/19,Servoz,Sport,French,France
Surbac à bras,6b  ***,Lead O/S,"Steely12, lo22",,14/Jun/19,Servoz,Sport,French,France
The Price of Silence,6a  **,Lead O/S,Michael Bortoluzzi,,05/Jun/19,Battleship Back Cliff,Sport,French,England
Pump Hitler,7a+  ***,Lead RP,Michael Bortoluzzi,"2nd go, once clips were in. Brilliant!",05/Jun/19,Battleship Back Cliff,Sport,French,England
No Man is an Island,6c  ***,Lead β,Michael Bortoluzzi,,05/Jun/19,Battleship Back Cliff,Sport,French,England
Buoys will be Buoys,6b+  ***,Lead O/S,Michael Bortoluzzi,,05/Jun/19,Battleship Back Cliff,Sport,French,England
Damn These Electric Sex Pants,6b  *,Lead β,Michael Bortoluzzi,,05/Jun/19,Neddyfields,Sport,French,England
Consommé,6a+  **,Lead β,Michael Bortoluzzi,,04/Jun/19,The Cuttings,Sport,French,England
Marmolata Buttress,E3 5c **,AltLd dog,Michael Bortoluzzi,Lead top pitch. Mis-read crux and fell off whilst seconding the hard first pitch. Solid lead from Michael.,03/Jun/19,Boulder Ruckle,Trad,British,England
Gypsy,E2 5b ***,2nd O/S,Michael Bortoluzzi,Done in one pitch. Surprisingly pumpy despite large holds.,03/Jun/19,Boulder Ruckle,Trad,British,England
Strongbow,E1 5b ***,AltLd O/S,Michael Bortoluzzi,Found this a hard re-introduction to trad after a stressful final year of uni. Great to be back outside though!,03/Jun/19,Boulder Ruckle,Trad,British,England
Unseen Ripples of the Pebble,6b  ***,Lead O/S,Michael Bortoluzzi,,02/Jun/19,Winspit,Sport,French,England
Sat in Silk,V3+  **,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Wall Direct,V3  ,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Silk and Satin,V2  ***,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Third Time Lucky,V3  ***,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Starship Trooper,V3+  ***,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Right Arête,V1  *,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Moonshot Direct,V3+  **,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Moonshot,V2  ***,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Pillar Sit Start,V3  ,Sent x,Sid Sherborne,,16/May/19,Beacon Hill,Bouldering,Font,England
Shin Gi Tai (2),6b+  **,Lead β,Sid Sherborne,,27/Apr/19,Wyndcliff Quarry,Sport,French,Wales
The Sun is Shining Down,6a+  **,Lead O/S,Sid Sherborne,,27/Apr/19,Wyndcliff Quarry,Sport,French,Wales
Mr Whippy,6c+  **,Lead RP,Sid Sherborne,,27/Apr/19,Wyndcliff Quarry,Sport,French,Wales
Diminishing Returns,6c  *,Lead O/S,Sid Sherborne,,27/Apr/19,Wyndcliff Quarry,Sport,French,Wales
The Don,E2 5c **,Lead O/S,Michael Bortoluzzi,,06/Apr/19,Wynd Cliff,Trad,British,Wales
Piercefield Grooves,E2 5b ,2nd O/S,Michael Bortoluzzi,,06/Apr/19,Wynd Cliff,Trad,British,Wales
Pilgrimage,E2 5c *,Lead O/S,Michael Bortoluzzi,,06/Apr/19,Wynd Cliff,Trad,British,Wales
Chimes Start,V4  **,Sent x,Sid Sherborne,,29/Mar/19,Raven Tor (Miller's Dale),Bouldering,Font,England
Via Delle Punte (formerly Via Fratelli Titt),5c  ***,AltLd O/S,Francesco Di Lallo,Good adventurous climbing up a stunning huge face! Was in the sun all day and unfortunately ran out of water + suffered lots the next day.,25/Mar/19,Monte Monaco - Sperone Est,Sport,French,Italy
White Rabbit,7a  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor","First 7a onsight, quality route with an interesting steep early/middle section, huge ledge and then a thrilling steep crimpy headwall to finish. Done in dying light with good cool conditions.",23/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Per I Nostri Amici,6b+  ***,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,23/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Bella Italia,6a  ***,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,23/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Welcome to Sicily,6a+  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,23/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Roasting Meat,5c  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,22/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Shirtcut,6a  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,22/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Wilkinson,6a  *,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,21/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Via Rossa,6b  ***,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,21/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Rumba,6a+  ***,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,21/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Via Della Grotta,6b  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,21/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
In Summe Gelungen,6b  ***,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,20/Mar/19,Scogliera Di Salinella - South,Sport,French,Italy
Red Planet,6a  *,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,20/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Last Orders,6a  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,20/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Redhead,6a  **,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,20/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Lucilla,6b+  ,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,19/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Blue,6a  *,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,19/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Anita,5b  *,Lead O/S,"Mark Shannon, Charlie Henderson, Sam Rasor",,19/Mar/19,Scogliera Di Salinella - El Bahira,Sport,French,Italy
Old Men Last Longer,5c  **,Lead O/S,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Sometimes I Won't Thrill You,6a+  *,Lead O/S,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
THE END,6a+  *,Lead β,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Shin Gi Tai,6b+  **,Lead β,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Hong Kong Wedding,6b  *,Lead O/S,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Finishing Touch (original line with direct start),6b  *,Lead β,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
One Tooth Short of a Smile,6a+  *,Lead β,Sid Sherborne,,17/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Woke Up Dreamin',6b+  *,Lead β,Sid Sherborne,,10/Mar/19,Wyndcliff Quarry,Sport,French,Wales
Cadillac,VS 4c ***,2nd O/S,Sid Sherborne,,09/Mar/19,Wynd Cliff,Trad,British,Wales
Suncrush,HVS 5b **,Lead O/S,Sid Sherborne,,09/Mar/19,Wynd Cliff,Trad,British,Wales
Out of Flow,V2  ,Sent x,Sid Sherborne,,09/Mar/19,Wyndcliff Quarry,Bouldering,Font,Wales
Flow Pipe,V2  *,Sent x,Sid Sherborne,,09/Mar/19,Wyndcliff Quarry,Bouldering,Font,Wales
Peak Flow,V2  ,Sent x,Sid Sherborne,,09/Mar/19,Wyndcliff Quarry,Bouldering,Font,Wales
In the Flow,V0-  ,Sent x,Sid Sherborne,,09/Mar/19,Wyndcliff Quarry,Bouldering,Font,Wales
Zulu,E2 5c ***,Lead O/S,Sid Sherborne,,09/Mar/19,Wynd Cliff,Trad,British,Wales
Questor,VS 4c ***,2nd O/S,Sid Sherborne,,09/Mar/19,Wynd Cliff,Trad,British,Wales
Sinew,HVS 5a ***,Lead O/S,Sid Sherborne,,09/Mar/19,Wynd Cliff,Trad,British,Wales
Zeus,E2 5b ***,Lead G/U,Weronika-maksym,"Really pumpy. Got it 2nd go, by the skin of my teeth, after falling half the height of the cliff on the rather gripping O/S attempt.",20/Feb/19,Burbage South Quarries,Trad,British,England
Goliath,E4 6a ***,Lead dnf,Francesco Di Lallo,"Fun to try this, in a wierd, masochistic way. Failed to get past the wide bit where you can no longer cam feet (or atleast I couldn't). ",20/Feb/19,Burbage South Edge,Trad,British,England
The Runnel,II  ***,AltLd,Sid Sherborne,Sincerest apologies to Sid for being so grumpy on this day.,02/Jan/19,Cairn Gorm - Stob Coire an t-Sneachda,Winter,Scottish,Scotland
Bynack More summit,summit  ,-,"EGriffin, Sid Sherborne",,29/Dec/18,Bynack More,Special, ,Scotland
Cairn Gorm summit,summit  ,-,Sid Sherborne,,29/Dec/18,Cairn Gorm,Special, ,Scotland
Fiacaill Ridge,II  **,Solo,"EGriffin, Sid Sherborne",,29/Dec/18,Cairn Gorm - Stob Coire an t-Sneachda,Winter,Scottish,Scotland
Grimley's Crack (Standing Start),V2  ,Sent β,Sid Sherborne,,24/Nov/18,Cademan Wood and Broad Hill,Bouldering,Font,England
Grimley's Crack,V3+  *,Sent x,Sid Sherborne,,24/Nov/18,Cademan Wood and Broad Hill,Bouldering,Font,England
Grimley's Crack Left Hand,V3+  **,Sent x,Sid Sherborne,,24/Nov/18,Cademan Wood and Broad Hill,Bouldering,Font,England
Grim Lee,V2  ,Sent x,Sid Sherborne,,24/Nov/18,Cademan Wood and Broad Hill,Bouldering,Font,England
Overhanging Arête,V3+  *,Sent x,Tom Lord,,24/Nov/18,Cademan Wood and Broad Hill,Bouldering,Font,England
Black Swan Rising,6b  ***,Lead O/S,,,28/Oct/18,Giggleswick South,Sport,French,England
Bonhomie,6a+  ***,Lead O/S,,,28/Oct/18,Giggleswick South,Sport,French,England
The Constant Gardener,6a  **,Lead O/S,,,28/Oct/18,Giggleswick South,Sport,French,England
Reach for the Sky,V0+  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Stretch,V0  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Reach for the Pie,V0  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
TC 8b Wooden Wedge,V2  ,Sent β,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Small Slab Centre,V0+  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
Grooved Arete,VB  ,Sent O/S,Sid Sherborne,,27/Oct/18,Shipley Glen,Bouldering,Font,England
